打印数据 JSON 格式	src/views/label/print/index.vue:81 [attr:placeholder]
打印预览	src/views/label/print/index.vue:100 [attr:title]
大专	src/views/system/user/components/UserProfileForm.vue:36 [text]
待审供应商	src/views/workflow/form/SupplierReviewForm.vue:21 [attr:label]
待审批	src/views/basic/material/index.vue:192 [script]
单位成本	src/views/basic/packaging/index.vue:169 [script]
当前页面用于维护当前登录用户的列偏好设置。页面和按钮是否可见仍取决于角色菜单授权，这里仅负责保存已授权页面的个性化列显示。	src/views/system/userTableConfig/index.vue:31 [attr:description]
当前语言内容	src/views/system/i18nMessage/index.vue:137 [script]
导入	src/views/system/operationLog/index.vue:142 [script]
登出	src/views/system/operationLog/index.vue:144 [script]
登录	src/views/system/operationLog/index.vue:143 [script]
登录 IP	src/views/system/loginLog/index.vue:49 [script]
登录地点	src/views/system/dashboard/index.vue:361 [script]
登录地区	src/views/system/online/index.vue:110 [script]
登录端	src/views/system/online/index.vue:106 [script]
低	src/views/auth/init-wizard/index.vue:15 [text]
第三方	src/views/system/online/index.vue:83 [script]
调用模式	src/views/integrationPlatform/apiCallLog/components/ApiCallLogDetailDialog.vue:37 [attr:label]
非默认	src/views/system/user/components/UserDetail.vue:68 [text]
分级	src/views/basic/supplier/index.vue:532 [script]
分类	src/views/report/index.vue:150 [script]
风险等级	src/views/basic/supplier/index.vue:523 [script]
附属信息（可选）	src/views/system/user/components/UserFormDialog.vue:137 [attr:tab]
复制响应结果	src/views/integrationPlatform/apiCallLog/components/ApiCallLogDetailDialog.vue:77 [text]
复制组装后参数	src/views/integrationPlatform/apiCallLog/components/ApiCallLogDetailDialog.vue:67 [text]
复制组装前参数	src/views/integrationPlatform/apiCallLog/components/ApiCallLogDetailDialog.vue:57 [text]
岗位级别	src/views/system/position/index.vue:212 [script]
高	src/views/auth/init-wizard/index.vue:13 [text]
高中	src/views/system/user/components/UserProfileForm.vue:34 [text]
告警	src/views/system/message/index.vue:9 [text]
个人简介	src/views/system/user/components/UserFormDialog.vue:186 [attr:label]
个人首页	src/views/system/config/index.vue:1060 [script]
工厂	src/views/label/print/index.vue:36 [attr:label]
工厂名称	src/views/label/template/components/LabelTemplateEditor.vue:272 [script]
工程卡包装标签	src/views/label/print/index.vue:14 [text]
工程卡号	src/views/label/print/index.vue:75 [attr:label]
工位标签	src/views/label/template/components/TemplateFormDialog.vue:57 [text]
工位标识标签	src/views/label/print/index.vue:15 [text]
公共配置	src/views/system/tableConfig/index.vue:19 [text]
供应商	src/views/label/print/index.vue:56 [attr:label]
供应商标签	src/views/label/template/components/TemplateFormDialog.vue:51 [text]
供应商分级	src/views/basic/supplier/index.vue:521 [script]
供应商主数据	src/views/basic/supplier/index.vue:6 [text]
供应商ID	src/views/workflow/form/SupplierReviewForm.vue:35 [attr:label]
共青团员	src/views/system/user/components/UserProfileForm.vue:17 [text]
关闭	src/views/label/template/components/TemplateDetailDrawer.vue:10 [text]
管理半成品物料信息，支持新增、编辑、删除和审批操作。	src/views/basic/material/semi-finished/index.vue:7 [text]
管理成品物料信息，支持新增、编辑、删除和审批操作。	src/views/basic/material/finished/index.vue:7 [text]
管理原材料物料信息，支持新增、编辑、删除和审批操作。	src/views/basic/material/raw/index.vue:7 [text]
归属地	src/views/system/loginLog/index.vue:50 [script]
耗时	src/views/system/operationLog/index.vue:164 [script]
滑块验证码	src/views/auth/init-wizard/index.vue:29 [text]
会话剩余时长	src/views/system/online/index.vue:111 [script]
基本信息	src/views/label/template/components/TemplateFormDialog.vue:13 [attr:title]
集中处理未激活待办实例与超时待办实例，作为审批流三期治理能力的运营入口。	src/views/workflow/governance/compensation/index.vue:16 [attr:description]
籍贯	src/views/system/user/components/UserFormDialog.vue:175 [attr:label]
简介	src/views/auth/init-wizard/index.vue:228 [script]
角色	src/views/auth/init-wizard/index.vue:62 [text]
接口编码	src/views/integrationPlatform/apiCallLog/components/ApiCallLogDetailDialog.vue:14 [attr:label]
接口名称	src/views/integrationPlatform/apiCallLog/components/ApiCallLogDetailDialog.vue:11 [attr:label]
结果类型	src/views/integrationPlatform/apiCallLog/components/ApiCallLogDetailDialog.vue:43 [attr:label]
金牌	src/views/basic/customer/index.vue:248 [script]
仅提醒	src/views/workflow/taskConfig/nodes.vue:587 [script]
开发者	src/views/auth/init-wizard/index.vue:65 [text]
开启验证码	src/views/auth/init-wizard/index.vue:25 [text]
客户账号默认为 custom，不支持在此创建更多客户用户	src/views/auth/init-wizard/index.vue:59 [text]
客户主数据	src/views/basic/customer/index.vue:6 [text]
库位标签	src/views/label/template/components/TemplateFormDialog.vue:63 [text]
